Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
368D88      15    No     0000445A-00004473       1A
368E49      3E    No     00004474-000044B6       43
368EC8      3E    No     000044B7-000044F9       43
368F4A       9    No     000044FA-00004507        E
368F68       9    No     00004508-00004515        E
36905D       B    No     00004516-00004525       10
36907C       A    No     00004526-00004534        F
3690C8      3F    No     00004535-00004578       44
369149      38    No     00004579-000045B5       3D
369252      16    No     000045B6-000045D0       1B
369270      18    No     000045D1-000045ED       1D
3692C8      3F    No     000045EE-00004631       44
36934A       E    No     00004632-00004644       13
369368       E    No     00004645-00004657       13
369456      12    No     00004658-0000466E       17
369474      14    No     0000466F-00004687       19
3694C8      3E    No     00004688-000046CA       43
36954A      12    No     000046CB-000046E1       17
369569      11    No     000046E2-000046F7       16
36964F      39    No     000046F8-00004735       3E
3696C9      39    No     00004736-00004773       3E
369756       6    No     00004774-0000477E        B
36976D       C    No     0000477F-0000478F       11
3697D7      11    No     00004790-000047A5       16
3697F0      18    No     000047A6-000047C2       1D
369849      3F    No     000047C3-00004806       44
3698CA       9    No     00004807-00004814        E
3698DA       6    No     00004815-0000481F        B
3698EA      14    No     00004820-00004838       19
3699DF       9    No     00004839-00004846        E
3699F8       F    No     00004847-0000485A       14
369A4A      3E    No     0000485B-0000489D       43
369AC9       A    No     0000489E-000048AC        F
369AE8      1E    No     000048AD-000048CF       23
369BCF      39    No     000048D0-0000490D       3E
369C48      3F    No     0000490E-00004951       44
369CC9      13    No     00004952-00004969       18
369CE9      11    No     0000496A-0000497F       16
38A473      15    No     00004980-00004999       1A
38A490      92    No     0000499A-00004A30       97
38A577      11    No     00004A31-00004A46       16
38A594       1    No     00004A47-00004A4C        6
38A599      89    No     00004A4D-00004ADA       8E
38A677      11    No     00004ADB-00004AF0       16
38A698      68    No     00004AF1-00004B5D       6D
38A709      14    No     00004B5E-00004B76       19
38A777      11    No     00004B77-00004B8C       16
38A794      8D    No     00004B8D-00004C1E       92
38A877      11    No     00004C1F-00004C34       16
38A894      92    No     00004C35-00004CCB       97
38A97B       D    No     00004CCC-00004CDD       12
38A998       1    No     00004CDE-00004CE3        6
38A99D      84    No     00004CE4-00004D6C       89
38AA7B       D    No     00004D6D-00004D7E       12
38AA98       1    No     00004D7F-00004D84        6
38AA9D      89    No     00004D85-00004E12       8E
38AB7B       D    No     00004E13-00004E24       12
38AB9C      64    No     00004E25-00004E8D       69
38AC08      16    No     00004E8E-00004EA8       1B
38AC7B       D    No     00004EA9-00004EBA       12
38AC9C      64    No     00004EBB-00004F23       69
38AD08      1A    No     00004F24-00004F42       1F
38F23F      49    No     00004F43-00004F90       4E
38F29C     101    No     00004F91-00005096      106
38F3A4       C    No     00005097-000050A7       11
38F3B3       9    Yes    000050A8-000050AF        8
38F3BF      4E    No     000050B0-00005102       53
38F40D       C    Yes    00005103-0000510A        8
38F41C       5    No     0000510B-00005114        A
38F43B      4D    No     00005115-00005166       52
38F498     1D0    No     00005167-0000533B      1D5
38F670      18    No     0000533C-00005358       1D
38F698     10E    No     00005359-0000546B      113
38F7BB      52    No     0000546C-000054C2       57
38F818       9    No     000054C3-000054D0        E
38F829      7F    No     000054D1-00005554       84
39EE37      11    No     00005555-0000556A       16
39EE54      14    No     0000556B-00005583       19
39EE7C       A    No     00005584-00005592        F
39EF0F       D    No     00005593-000055A4       12
39EF28      41    No     000055A5-000055EA       46
39F048       2    No     000055EB-000055F1        7
39F63D       B    No     000055F2-00005601       10
39F65C       B    No     00005602-00005611       10
39F728      40    No     00005612-00005656       45
39F829      39    No     00005657-00005694       3E
3A4836       1    No     00005695-0000569A        6
3A4840       1    No     0000569B-000056A0        6
3A4D8E       1    No     000056A1-000056A6        6
3A4D98       1    No     000056A7-000056AC        6
3A4DB2       1    No     000056AD-000056B2        6
3A4DBC       1    No     000056B3-000056B8        6
3A4DD6       1    No     000056B9-000056BE        6
3A4DE0       1    No     000056BF-000056C4        6
3B0C6F       1    No     000056C5-000056CA        6
3B0D2F       1    No     000056CB-000056D0        6
3B0E07       1    No     000056D1-000056D6        6
3B0EE3       1    No     000056D7-000056DC        6
3B15CB       1    No     000056DD-000056E2        6
3B1747       5    No     000056E3-000056EC        A
3B1883       5    No     000056ED-000056F6        A
3B712B       1    No     000056F7-000056FC        6
3B72EB       1    No     000056FD-00005702        6
3C75DA       1    No     00005703-00005708        6
3C75EA       1    No     00005709-0000570E        6
3C75F4       7    No     0000570F-0000571A        C
3C7748       3    No     0000571B-00005722        8
3C7760       3    No     00005723-0000572A        8
3C776C       3    No     0000572B-00005732        8
3C777A       1    No     00005733-00005738        6
3C77A4       B    No     00005739-00005748       10
3C77D0       3    No     00005749-00005750        8
3C77DC       3    No     00005751-00005758        8
3C77EE       1    No     00005759-0000575E        6
3C7A24      2F    No     0000575F-00005792       34
3C7A5E      11    No     00005793-000057A8       16
3C7AC4      2F    No     000057A9-000057DC       34
3C7B1A      2D    No     000057DD-0000580E       32
3C7B52      11    No     0000580F-00005824       16
3C9174       7    No     00005825-00005830        C
3C918C       3    No     00005831-00005838        8
3C9CB8      1A    No     00005839-00005857       1F
3C9CE0       6    No     00005858-00005862        B
3C9CF4      56    No     00005863-000058BD       5B
3C9D59      19    No     000058BE-000058DB       1E
3C9D81       5    No     000058DC-000058E5        A
3C9D95      41    No     000058E6-0000592B       46
3C9DE5       5    No     0000592C-00005935        A
3C9DF9       5    No     00005936-0000593F        A
3C9E0D       5    No     00005940-00005949        A
3C9E21       5    No     0000594A-00005953        A
3C9E35       5    No     00005954-0000595D        A
3C9E49      71    No     0000595E-000059D3       76
3C9EC1      35    No     000059D4-00005A0D       3A
3C9EFD      7D    No     00005A0E-00005A8F       82
3C9F89       5    No     00005A90-00005A99        A
3C9F9D      19    No     00005A9A-00005AB7       1E
3C9FC5      2D    No     00005AB8-00005AE9       32
